Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,Core_Communication,Core_Teamwork,Core_ProblemSolving,Core_Adaptability,Core_TimeManagement,Core_Initiative,Core_Accountability,Core_LearningAgility,Dept_Comp1,Dept_Comp2,Dept_Comp3,Role_Comp1,Role_Comp2,PerformanceScore,CORE_COMM_01,CORE_COMM_02,CORE_COMM_03,CORE_COMM_04,CORE_TEAM_01,CORE_TEAM_02,CORE_TEAM_03,CORE_TEAM_04,CORE_PROB_01,CORE_PROB_02,CORE_PROB_03,CORE_PROB_04,CORE_ADAPT_01,CORE_ADAPT_02,CORE_ADAPT_03,CORE_ADAPT_04,CORE_TIME_01,CORE_TIME_02,CORE_TIME_03,CORE_TIME_04,CORE_INIT_01,CORE_INIT_02,CORE_INIT_03,CORE_INIT_04,CORE_ACCT_01,CORE_ACCT_02,CORE_ACCT_03,CORE_ACCT_04,CORE_LEARN_01,CORE_LEARN_02,CORE_LEARN_03,CORE_LEARN_04,DEPT_COMP1_01,DEPT_COMP1_02,DEPT_COMP1_03,DEPT_COMP2_01,DEPT_COMP2_02,DEPT_COMP2_03,DEPT_COMP3_01,DEPT_COMP3_02,DEPT_COMP3_03,ROLE_COMP1_01,ROLE_COMP1_02,ROLE_COMP1_03,ROLE_COMP2_01,ROLE_COMP2_02,ROLE_COMP2_03
48,No,Travel_Rarely,Human Resources,1,Medical,1,Female,HR Specialist,3,Married,1,15,0,0,0,2.26,2.41,2.72,1.42,2.79,1.14,2.36,3.09,3.96,1.82,3.77,2.68,2.48,41.89,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
45,No,Travel_Frequently,Human Resources,4,Life Sciences,3,Male,HR Specialist,2,Married,2,21,9,6,3,3.73,4.0,1.92,2.31,3.21,3.38,2.05,2.07,3.0,1.98,2.63,3.89,3.08,55.98,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
24,No,Travel_Rarely,Human Resources,3,Computer Science,3,Male,HR Specialist,4,Single,3,9,4,4,4,3.3,1.27,3.15,3.11,4.0,2.33,4.0,2.61,3.58,3.14,3.41,4.0,3.24,67.07,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
18,Yes,No_Travel,Human Resources,4,Life Sciences,4,Male,HR Specialist,2,Married,3,0,0,0,0,3.38,3.93,2.62,2.23,3.35,3.3,3.23,3.99,2.39,3.12,1.81,3.03,2.21,56.04,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
18,No,Travel_Rarely,Human Resources,3,Life Sciences,3,Non-Binary,HR Specialist,2,Single,4,0,0,0,0,1.38,2.15,3.08,3.83,3.41,3.17,3.39,2.82,3.4,3.11,2.2,1.28,3.18,48.5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
27,No,Travel_Rarely,Human Resources,1,Information Systems,4,Female,HR Specialist,3,Single,3,3,2,1,0,3.73,2.09,3.54,3.16,3.55,2.45,3.74,1.93,2.34,2.4,3.17,3.79,2.64,61.09,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
33,No,Travel_Frequently,Human Resources,4,Technical Degree,3,Male,HR Specialist,2,Divorced,3,8,3,1,0,3.02,3.35,3.86,2.6,3.89,2.1,2.7,2.94,2.85,1.38,3.53,3.53,2.6,53.61,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
32,No,Travel_Frequently,Human Resources,2,Other,2,Female,HR Specialist,2,Single,2,8,6,2,1,2.49,3.29,2.18,3.16,2.63,1.66,2.98,2.47,2.14,2.23,2.69,2.5,2.99,42.43,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
31,Yes,No_Travel,Human Resources,2,Medical,3,Male,HR Specialist,1,Single,3,4,3,2,2,3.38,3.63,3.76,2.18,3.27,1.29,2.97,2.64,3.52,2.17,3.41,2.98,2.57,47.96,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
32,No,No_Travel,Human Resources,3,Life Sciences,4,Male,HR Specialist,4,Married,2,6,3,2,1,3.38,2.54,3.45,3.99,4.0,3.77,3.43,3.25,3.7,3.19,4.0,3.23,3.3,76.45,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
